名称,在售价格,在售数量
MAC-10（StatTrak™） | 板条箱 (破损不堪),￥4.02,"
                            44"
P90 | 白蜡木 (略有磨损),￥0.66,"
                            268"
MP9 | 红宝石毒镖 (战痕累累),￥13.04,"
                            10"
印花 | KENSi（金色） | 2022年安特卫普锦标赛,￥32.89,"
                            8"
MAG-7 | 灼烧之痕 (崭新出厂),￥79.88,"
                            2"
P250（StatTrak™） | 污染物 (久经沙场),￥4.04,"
                            36"
USP消音版（纪念品） | 橙红安乐蜥 (略有磨损),￥58.34,"
                            86"
格洛克18型（StatTrak™） | 铁之作 (略有磨损),￥13.21,"
                            24"
SSG 08 | 虎噬 (破损不堪),￥0.77,"
                            9"
SCAR-20（纪念品） | 碳素纤维 (崭新出厂),￥14.69,"
                            11"
SSG 08 | 玛雅之梦 (久经沙场),￥46.07,"
                            3"
内格夫（纪念品） | 核子废渣 (崭新出厂),￥43.59,"
                            8"
P90 | 盲点 (崭新出厂),￥79.26,"
                            39"
MP9 | 落日 (破损不堪),￥68.15,"
                            9"
法玛斯 | 殖民侵略者 (破损不堪),￥0.33,"
                            2"
USP消音版（纪念品） | 远古幻想 (久经沙场),￥45.30,"
                            34"
沙漠之鹰 | 都市 DDPAT (略有磨损),￥18.76,"
                            56"
P2000 | 黑曜石 (战痕累累),￥13.21,"
                            13"
AUG | 力矩 (略有磨损),￥49.88,"
                            76"
MAG-7 | 禁卫军 (略有磨损),￥14.78,"
                            42"
P90 | 盲点 (崭新出厂),￥79.26,"
                            39"
MP9 | 落日 (破损不堪),￥68.15,"
                            9"
法玛斯 | 殖民侵略者 (破损不堪),￥0.33,"
                            2"
USP消音版（纪念品） | 远古幻想 (久经沙场),￥45.30,"
                            34"
沙漠之鹰 | 都市 DDPAT (略有磨损),￥18.76,"
                            56"
P2000 | 黑曜石 (战痕累累),￥13.21,"
                            13"
AUG | 力矩 (略有磨损),￥49.88,"
                            76"
MAG-7 | 禁卫军 (略有磨损),￥14.78,"
                            42"
FN57（StatTrak™） | 朝枪夕拾 (战痕累累),￥15.89,"
                            17"
印花 | 彩虹之径（全息）,￥10.49,"
                            928"
CZ75自动型（StatTrak™） | 战术高手 (略有磨损),￥14.24,"
                            57"
新星（StatTrak™） | 目镜 (战痕累累),￥10.28,"
                            17"
双持贝瑞塔 | 殖民侵略者 (战痕累累),￥0.33,"
                            9"
M4A1消音版（StatTrak™） | 黑莲花 (破损不堪),￥158.00,"
                            34"
XM1014 | 蔚蓝多变迷彩 (久经沙场),￥79.76,"
                            6"
专业手套（★） | 渐变之色 (战痕累累),￥1092.00,"
                            52"
UMP-45（StatTrak™） | 连续体 (战痕累累),￥8.88,"
                            57"
MP9（StatTrak™） | 砂垢 (破损不堪),￥5.81,"
                            28"
Tec-9 | 战火重燃 (崭新出厂),￥20.58,"
                            111"
CZ75自动型 | 回转 (破损不堪),￥56.08,"
                            29"
专业手套（★） | 渐变之色 (战痕累累),￥1092.00,"
                            52"
UMP-45（StatTrak™） | 连续体 (战痕累累),￥8.88,"
                            57"
MP9（StatTrak™） | 砂垢 (破损不堪),￥5.81,"
                            28"
Tec-9 | 战火重燃 (崭新出厂),￥20.58,"
                            111"
CZ75自动型 | 回转 (破损不堪),￥56.08,"
                            29"
沙漠之鹰 | 纳迦蛇神 (破损不堪),￥21.00,"
                            16"
P2000（StatTrak™） | 手炮 (战痕累累),￥10.38,"
                            25"
