序号,题号,题目名称,难度,通过率,挑战人数,标签
1,17795,多边形区域划分计数,中,0%,45,数学
2,17540,小齐的扑克游戏,中,0%,45,数学
3,17541,小齐的城市配对,中,0%,45,数学
4,18055,三角律音,中,0%,45,思维、数学
5,17801,可可的数字游戏,中,50%,45,数学
6,17802,调和环形花坛,中,33.3%,45,数学
7,17803,彩色画布的交织计数,中,25%,45,数学
8,18059,平方枢轴,中,0%,45,思维、数学
9,17804,辉神分离序列,中,0%,45,数学
10,17806,可可的缺失拼图块,中,66.7%,45,数学
11,17807,盒子颜色排列,中,25%,45,数学
12,17297,小齐的涂鸦艺术,中,0%,45,数学
13,17553,云神的棍子,中,66.7%,45,排序
14,17554,小齐的智慧围栏,中,0%,45,数学
15,18066,数舞者舞蹈,中,0%,45,思维、数学
16,17299,小齐的山地徒步,中,0%,45,贪心
17,17555,荣神的子串区别,中,25%,45,字符串
18,18067,连绵书卷绘数轴,中,0%,45,思维、数学
19,17814,乐乐的金属利润,中,0%,45,数学
20,18070,三堆轮流取，胜负难料矣,中,0%,45,思维、数学
21,17559,小齐的数字合并游戏,中,0%,45,数学
22,18071,分米山河，各自天涯,中,25%,45,思维、数学
23,18328,石子欢乐多,中,14.3%,45,博弈、数学
24,17561,小齐挑战之雪场设计,中,0%,45,数学
25,18073,三石立局数寒,中,0%,45,思维、数学
26,17819,可可的密码锁,中,33.3%,45,数学
27,18331,中间的字符,中,20%,45,字符串、数学
28,17564,小齐的油漆大师,中,25%,45,数学
29,17820,乐乐的环形花坛访问,中,25%,45,数学
30,17565,小齐的愤怒草堆,中,0%,45,数学
31,17821,小齐挑战之神奇4,中,0%,45,数学
32,18077,镜中水木清华同,中,50%,45,思维、数学
33,17566,小齐的激光之谜,中,0%,45,数学
34,18078,石子博弈计输赢,中,0%,45,思维、数学
35,18079,星辰之后续新篇,中,0%,45,思维、数学
36,17568,小齐的困扰之修建围栏与添加门,中,0%,45,数学
37,17824,小齐的边界框计数,中,0%,45,数学
38,18080,力挽狂澜不完全，遗世独立有余强,中,0%,45,思维、数学
39,17829,小齐的衣帽间挂钩选择,中,0%,45,数学
40,18085,细数晨露逐滴圆,中,0%,45,思维、数学
41,17320,小齐的友情记录,中,0%,45,数据结构
42,17576,小齐的围栏修补,中,0%,45,数学
43,18088,细数织锦回文梦,中,0%,45,思维、数学
